# time(ps)   RMSD(Ang)   MSD(Ang^2)
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000021e-03 2.440380328505097618e-01 5.955456147754648738e-02
2.000000000000000042e-03 3.456803274348350663e-01 1.194948887754547773e-01
3.000000000000000062e-03 4.164713525268082250e-01 1.734483874755089750e-01
4.000000000000000083e-03 5.320324356956624978e-01 2.830585126322592293e-01
5.000000000000000104e-03 6.358378608619869032e-01 4.042897853055473778e-01
6.000000000000000125e-03 7.324110469831506265e-01 5.364259417429548815e-01
7.000000000000000146e-03 8.067538011158784661e-01 6.508516956149184018e-01
8.000000000000000167e-03 8.865718399108430958e-01 7.860096273228975861e-01
9.000000000000001055e-03 9.749468844606140605e-01 9.505214275194580065e-01
1.000000000000000021e-02 1.044255343143579262e+00 1.090469221683914469e+00
1.099999999999999936e-02 1.094701242967968335e+00 1.198370811355615073e+00
1.200000000000000025e-02 1.147075458056346253e+00 1.315782106475176461e+00
1.300000000000000114e-02 1.197498579245268591e+00 1.434002847294436833e+00
1.400000000000000029e-02 1.224214447824653496e+00 1.498701014262621145e+00
1.499999999999999944e-02 1.248455121591507178e+00 1.558640190628065136e+00
1.600000000000000033e-02 1.271267835020292392e+00 1.616121908357181614e+00
1.700000000000000122e-02 1.296266711850941000e+00 1.680307388252850309e+00
1.800000000000000211e-02 1.313625813787375307e+00 1.725612778648544010e+00
1.899999999999999953e-02 1.333361091190274239e+00 1.777851799500118846e+00
2.000000000000000042e-02 1.353598544239607016e+00 1.832229018967583167e+00
2.100000000000000130e-02 1.395155342664693432e+00 1.946458430165838305e+00
2.199999999999999872e-02 1.429489275261588421e+00 2.043439588087901271e+00
2.299999999999999961e-02 1.452229261199710741e+00 2.108969827084657744e+00
2.400000000000000050e-02 1.487721444406346016e+00 2.213315096146504235e+00
2.500000000000000139e-02 1.522171615820374191e+00 2.317006428009209085e+00
2.600000000000000228e-02 1.546962511953019259e+00 2.393093013387995516e+00
2.699999999999999969e-02 1.557480782796011543e+00 2.425746388778876828e+00
2.800000000000000058e-02 1.572466058878941642e+00 2.472649506326271229e+00
2.900000000000000147e-02 1.590337404925352249e+00 2.529173061504703668e+00
2.999999999999999889e-02 1.601468404618338504e+00 2.564701050990806142e+00
3.099999999999999978e-02 1.603039991004895581e+00 2.569737212760975442e+00
3.200000000000000067e-02 1.612993418346061025e+00 2.601747767627710761e+00
3.300000000000000155e-02 1.628301350340021436e+00 2.651365287519137581e+00
3.400000000000000244e-02 1.640207479672125990e+00 2.690280576372387600e+00
3.500000000000000333e-02 1.662360490899299936e+00 2.763442401702961515e+00
3.600000000000000422e-02 1.666562005012021563e+00 2.777428916549689042e+00
3.699999999999999817e-02 1.658835999755394086e+00 2.751736874084477869e+00
3.799999999999999906e-02 1.664343249265841429e+00 2.770038451376778621e+00
3.899999999999999994e-02 1.663675932455280559e+00 2.767817608230946913e+00
4.000000000000000083e-02 1.672070020527600676e+00 2.795818153547171114e+00
4.100000000000000172e-02 1.673857086668806948e+00 2.801797546591385579e+00
4.200000000000000261e-02 1.681721195654573231e+00 2.828186179913847020e+00
4.300000000000000350e-02 1.691090361523360119e+00 2.859786610837208976e+00
4.399999999999999745e-02 1.706043776849097027e+00 2.910585368525531624e+00
4.499999999999999833e-02 1.720969817438891658e+00 2.961737112535651750e+00
4.599999999999999922e-02 1.713459457183952095e+00 2.935943311413123702e+00
4.700000000000000011e-02 1.719048175569532821e+00 2.955126629928939153e+00
4.800000000000000100e-02 1.726968771267009650e+00 2.982421136931485250e+00
4.900000000000000189e-02 1.740371028179398483e+00 3.028891315726216504e+00
5.000000000000000278e-02 1.754157864532269073e+00 3.077069813700410439e+00
5.100000000000000366e-02 1.760484593374469720e+00 3.099306003508872198e+00
5.200000000000000455e-02 1.757492774622001708e+00 3.088780852848542313e+00
5.299999999999999850e-02 1.754619027551776123e+00 3.078687931846740167e+00
5.399999999999999939e-02 1.760810267163118281e+00 3.100452796947051670e+00
5.500000000000000028e-02 1.762862280280805605e+00 3.107683419236841882e+00
5.600000000000000117e-02 1.759423812188778635e+00 3.095572150896894748e+00
5.700000000000000205e-02 1.765746829173612920e+00 3.117861864736668487e+00
5.800000000000000294e-02 1.766308390304820675e+00 3.119845329661206978e+00
5.900000000000000383e-02 1.769721334957534697e+00 3.131913603403878810e+00
5.999999999999999778e-02 1.766840505728070942e+00 3.121725372681425359e+00
6.099999999999999867e-02 1.766828367082423856e+00 3.121682478727144439e+00
6.199999999999999956e-02 1.774131172596579376e+00 3.147541417578914036e+00
6.300000000000000044e-02 1.770666125278108405e+00 3.135258527207389623e+00
6.400000000000000133e-02 1.772023288044328071e+00 3.140066533371431934e+00
