# time(ps)   RMSD(Ang)   MSD(Ang^2)
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000021e-03 3.482653202134970427e-01 1.212887332634096510e-01
2.000000000000000042e-03 4.286315370170971084e-01 1.837249945256390904e-01
3.000000000000000062e-03 5.468413985801131583e-01 2.990355152010542028e-01
4.000000000000000083e-03 6.591448058207394212e-01 4.344718750404602536e-01
5.000000000000000104e-03 7.522428438361655756e-01 5.658692961027217416e-01
6.000000000000000125e-03 8.728202282226887876e-01 7.618151507947065193e-01
7.000000000000000146e-03 9.376711572496082558e-01 8.792271991378195484e-01
8.000000000000000167e-03 9.858727434915663945e-01 9.719450663595877726e-01
9.000000000000001055e-03 1.027501989672579885e+00 1.055760338781110530e+00
1.000000000000000021e-02 1.064844155329295994e+00 1.133893075138961759e+00
1.099999999999999936e-02 1.101804183789773850e+00 1.213972459416649885e+00
1.200000000000000025e-02 1.144370499699641996e+00 1.309583840582808412e+00
1.300000000000000114e-02 1.181963348027078142e+00 1.397037356079380066e+00
1.400000000000000029e-02 1.207230512399904754e+00 1.457405510069336385e+00
1.499999999999999944e-02 1.238382519069084697e+00 1.533591263535891702e+00
1.600000000000000033e-02 1.243826544666017719e+00 1.547104473215805021e+00
1.700000000000000122e-02 1.254350903891012559e+00 1.573396190092200442e+00
1.800000000000000211e-02 1.258830181547669014e+00 1.584653425975337537e+00
1.899999999999999953e-02 1.287721307326953557e+00 1.658226165343838598e+00
2.000000000000000042e-02 1.301127035212449323e+00 1.692931561760738335e+00
2.100000000000000130e-02 1.316985179426993113e+00 1.734449962830349357e+00
2.199999999999999872e-02 1.342081467236247772e+00 1.801182664698999458e+00
2.299999999999999961e-02 1.345357973468367829e+00 1.809988076774913246e+00
2.400000000000000050e-02 1.364907405744624880e+00 1.862972226256522257e+00
2.500000000000000139e-02 1.373718129448735059e+00 1.887101499176131458e+00
2.600000000000000228e-02 1.385508339162803138e+00 1.919633357889668934e+00
2.699999999999999969e-02 1.397577873158512007e+00 1.953223911542270042e+00
2.800000000000000058e-02 1.405820616345010432e+00 1.976331605340665210e+00
2.900000000000000147e-02 1.414112146158879035e+00 1.999713161914070891e+00
2.999999999999999889e-02 1.418416172634302530e+00 2.011904438790543370e+00
3.099999999999999978e-02 1.439977521442718178e+00 2.073535262260314038e+00
3.200000000000000067e-02 1.447468546450318305e+00 2.095165192962997303e+00
3.300000000000000155e-02 1.448290189685714102e+00 2.097544473539882048e+00
3.400000000000000244e-02 1.448559810381415236e+00 2.098325524252241614e+00
3.500000000000000333e-02 1.461194563853575712e+00 2.135089553435241427e+00
3.600000000000000422e-02 1.492005009243385860e+00 2.226078947607355918e+00
3.699999999999999817e-02 1.505862520340520927e+00 2.267621930166305866e+00
3.799999999999999906e-02 1.521069113469367240e+00 2.313651247950486489e+00
3.899999999999999994e-02 1.537577325701779074e+00 2.364144032512235150e+00
4.000000000000000083e-02 1.554167272992245552e+00 2.415435912440152766e+00
4.100000000000000172e-02 1.594029981537239404e+00 2.540931582039611669e+00
4.200000000000000261e-02 1.616431833106686478e+00 2.612851871080642763e+00
4.300000000000000350e-02 1.643300947000480683e+00 2.700438002412676841e+00
4.399999999999999745e-02 1.655206849845524131e+00 2.739709715775543231e+00
4.499999999999999833e-02 1.664480753925847267e+00 2.770496180189556679e+00
4.599999999999999922e-02 1.680031190985945111e+00 2.822504802685652958e+00
4.700000000000000011e-02 1.691440612697546308e+00 2.860971346282650707e+00
4.800000000000000100e-02 1.704421811666963160e+00 2.905053712086092865e+00
4.900000000000000189e-02 1.716651831535453310e+00 2.946893510714026387e+00
5.000000000000000278e-02 1.732736313192825728e+00 3.002375131057065882e+00
5.100000000000000366e-02 1.750451379827426379e+00 3.064080033139741310e+00
5.200000000000000455e-02 1.764085817079042551e+00 3.111998770019433369e+00
5.299999999999999850e-02 1.778122452314736979e+00 3.161719455425774150e+00
5.399999999999999939e-02 1.787423792633343167e+00 3.194883814471764616e+00
5.500000000000000028e-02 1.791847949068697599e+00 3.210719072581697642e+00
5.600000000000000117e-02 1.792237485088845839e+00 3.212115202957590565e+00
5.700000000000000205e-02 1.786160684855366609e+00 3.190369992122992659e+00
5.800000000000000294e-02 1.787002058704470597e+00 3.193376357814015964e+00
5.900000000000000383e-02 1.782513171097515947e+00 3.177353205136122405e+00
5.999999999999999778e-02 1.796692073272379675e+00 3.228102406159802040e+00
6.099999999999999867e-02 1.785954992651747064e+00 3.189635235777702249e+00
6.199999999999999956e-02 1.800366998878052627e+00 3.241321330649165944e+00
6.300000000000000044e-02 1.808637297366262775e+00 3.271168873424338930e+00
6.400000000000000133e-02 1.810235095775065473e+00 3.276951101975760228e+00
6.500000000000000222e-02 1.815931305242413085e+00 3.297606505359414353e+00
6.600000000000000311e-02 1.812631008153080758e+00 3.285631171718053523e+00
6.700000000000000400e-02 1.816358099130171322e+00 3.299156744275768993e+00
6.800000000000000488e-02 1.813892375863242590e+00 3.290205551214798962e+00
6.900000000000000577e-02 1.817785261520910467e+00 3.304343257002644751e+00
7.000000000000000666e-02 1.822650046483068609e+00 3.322053191944732031e+00
7.100000000000000755e-02 1.833855072814666753e+00 3.363024428088086992e+00
7.200000000000000844e-02 1.836162354180815193e+00 3.371492190910833298e+00
7.299999999999999545e-02 1.839147205068698332e+00 3.382462441912005069e+00
7.399999999999999634e-02 1.845391693353334750e+00 3.405470501897488234e+00
7.499999999999999722e-02 1.844784435065286665e+00 3.403229611859149184e+00
7.599999999999999811e-02 1.855594849702260740e+00 3.443232246241555217e+00
7.699999999999999900e-02 1.858812459842434039e+00 3.455183760865480291e+00
7.799999999999999989e-02 1.852906280706920983e+00 3.433261685083154990e+00
7.900000000000000078e-02 1.855040796630657907e+00 3.441176357164105859e+00
8.000000000000000167e-02 1.862836403000879493e+00 3.470159464345254907e+00
8.100000000000000255e-02 1.847615164700726398e+00 3.413681796832092274e+00
8.200000000000000344e-02 1.848094388461458459e+00 3.415452868662732122e+00
8.300000000000000433e-02 1.862601999624983184e+00 3.469286209006986255e+00
8.400000000000000522e-02 1.877144719439992393e+00 3.523672297721447855e+00
8.500000000000000611e-02 1.890210383687499052e+00 3.572895294600042071e+00
8.600000000000000699e-02 1.892617066011878180e+00 3.581999358559410318e+00
8.700000000000000788e-02 1.910673584849647222e+00 3.650673547842202105e+00
8.799999999999999489e-02 1.924242696089795812e+00 3.702709953454926595e+00
8.899999999999999578e-02 1.934998513814269350e+00 3.744219248463431349e+00
8.999999999999999667e-02 1.946689971744826719e+00 3.789601846091874560e+00
