# time(ps)   RMSD(Ang)   MSD(Ang^2)
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000021e-03 2.504326406381242598e-01 6.271650749698388927e-02
2.000000000000000042e-03 3.536030084817207708e-01 1.250350876073239026e-01
3.000000000000000062e-03 4.372517685025900103e-01 1.911891090586425868e-01
4.000000000000000083e-03 5.668352208188588426e-01 3.213021675607644623e-01
5.000000000000000104e-03 6.863049836292568484e-01 4.710145305543544381e-01
6.000000000000000125e-03 7.681607968303432177e-01 5.900710097870277560e-01
7.000000000000000146e-03 8.358937132876735898e-01 6.987182999138553674e-01
8.000000000000000167e-03 9.202244115394069279e-01 8.468129675930478051e-01
9.000000000000001055e-03 9.908004748531461514e-01 9.816855809692198731e-01
1.000000000000000021e-02 1.052713008246505932e+00 1.108204677731408294e+00
1.099999999999999936e-02 1.097588308523496536e+00 1.204700095007470440e+00
1.200000000000000025e-02 1.137309039758243046e+00 1.293471851915817039e+00
1.300000000000000114e-02 1.195609503823489073e+00 1.429482085633049682e+00
1.400000000000000029e-02 1.232898508108132729e+00 1.520038731295259460e+00
1.499999999999999944e-02 1.261809320676455792e+00 1.592162761745979038e+00
1.600000000000000033e-02 1.287630237327984206e+00 1.657991628081320723e+00
1.700000000000000122e-02 1.311088573948179681e+00 1.718953248737471462e+00
1.800000000000000211e-02 1.315061040068465248e+00 1.729385539105953384e+00
1.899999999999999953e-02 1.329394588768925134e+00 1.767289972648099727e+00
2.000000000000000042e-02 1.340582056068216676e+00 1.797160249052087488e+00
2.100000000000000130e-02 1.350177347104515757e+00 1.822978868634188121e+00
2.199999999999999872e-02 1.359047799266769774e+00 1.847010920691849911e+00
2.299999999999999961e-02 1.370828432004208119e+00 1.879170589991115969e+00
2.400000000000000050e-02 1.377879092401485206e+00 1.898550793277140825e+00
2.500000000000000139e-02 1.394762667457645877e+00 1.945362898533567808e+00
2.600000000000000228e-02 1.398374792145172574e+00 1.955452059307054569e+00
2.699999999999999969e-02 1.398964659280103939e+00 1.957102117914697015e+00
2.800000000000000058e-02 1.403064403510953184e+00 1.968589720399546827e+00
2.900000000000000147e-02 1.396642839856762297e+00 1.950611222123161514e+00
2.999999999999999889e-02 1.392948808250781045e+00 1.940306382407271046e+00
3.099999999999999978e-02 1.381811068568032708e+00 1.909401829217128421e+00
3.200000000000000067e-02 1.375239673200658430e+00 1.891284158745053956e+00
3.300000000000000155e-02 1.383871191965986958e+00 1.915099475953361274e+00
3.400000000000000244e-02 1.392822171216424598e+00 1.939953600632035480e+00
3.500000000000000333e-02 1.401435757829750051e+00 1.964022183323845594e+00
3.600000000000000422e-02 1.424693851013159263e+00 2.029752569114705807e+00
3.699999999999999817e-02 1.436908959843111733e+00 2.064707358877413412e+00
3.799999999999999906e-02 1.450928631496569476e+00 2.105193893696507779e+00
3.899999999999999994e-02 1.468051628063378189e+00 2.155175582659535127e+00
4.000000000000000083e-02 1.480257612546642010e+00 2.191162599502284536e+00
4.100000000000000172e-02 1.504164623756885755e+00 2.262511215361693750e+00
4.200000000000000261e-02 1.509043829622946697e+00 2.277213279723089290e+00
4.300000000000000350e-02 1.520315947898832842e+00 2.311360581435526473e+00
4.399999999999999745e-02 1.528729846928391867e+00 2.337014944889704626e+00
4.499999999999999833e-02 1.536623712233397443e+00 2.361212432997946919e+00
4.599999999999999922e-02 1.543265547921784053e+00 2.381668551402324585e+00
4.700000000000000011e-02 1.539516173466718874e+00 2.370110048365608346e+00
4.800000000000000100e-02 1.548336446446451520e+00 2.397345751394424962e+00
4.900000000000000189e-02 1.544716697160793295e+00 2.386149674487350048e+00
5.000000000000000278e-02 1.541670575493135908e+00 2.376748163341336539e+00
5.100000000000000366e-02 1.547017189117199321e+00 2.393262183424080369e+00
5.200000000000000455e-02 1.543037533255579685e+00 2.380964829035464358e+00
5.299999999999999850e-02 1.536835518906435771e+00 2.361863412172414023e+00
5.399999999999999939e-02 1.538619788333140948e+00 2.367350853050319781e+00
5.500000000000000028e-02 1.542737717908207573e+00 2.380039666256624109e+00
5.600000000000000117e-02 1.538138904506105575e+00 2.365871289555242729e+00
5.700000000000000205e-02 1.547463294127753741e+00 2.394642646672719088e+00
5.800000000000000294e-02 1.552932278134279809e+00 2.411598660471323985e+00
5.900000000000000383e-02 1.559100160611675889e+00 2.430793310819353792e+00
5.999999999999999778e-02 1.568246792838300374e+00 2.459398003247614817e+00
6.099999999999999867e-02 1.575994315093955267e+00 2.483758081208465196e+00
6.199999999999999956e-02 1.583771454579370408e+00 2.508332020340454882e+00
6.300000000000000044e-02 1.592338379225662903e+00 2.535541513955011261e+00
6.400000000000000133e-02 1.589291342765106085e+00 2.525846972188114048e+00
6.500000000000000222e-02 1.587924544656061698e+00 2.521504359521160588e+00
6.600000000000000311e-02 1.592883232959283468e+00 2.537276993842819017e+00
6.700000000000000400e-02 1.598403455473560442e+00 2.554893606469818668e+00
6.800000000000000488e-02 1.598055098079655734e+00 2.553780096498378338e+00
6.900000000000000577e-02 1.610031554610552362e+00 2.592201606841671779e+00
7.000000000000000666e-02 1.620453099353743376e+00 2.625868247205152883e+00
7.100000000000000755e-02 1.625645456597757388e+00 2.642723150556931078e+00
7.200000000000000844e-02 1.636058636800193034e+00 2.676687863048506255e+00
7.299999999999999545e-02 1.641556703296074282e+00 2.694708410136275933e+00
7.399999999999999634e-02 1.645881263821658669e+00 2.708925134599180495e+00
7.499999999999999722e-02 1.645803780684902184e+00 2.708670084516717314e+00
7.599999999999999811e-02 1.657487851367656528e+00 2.747265977431371020e+00
7.699999999999999900e-02 1.658541487371413936e+00 2.750759865332181864e+00
7.799999999999999989e-02 1.681434127248947252e+00 2.827220724277429209e+00
7.900000000000000078e-02 1.698497130139587030e+00 2.884892501092413131e+00
8.000000000000000167e-02 1.703827269639297981e+00 2.903027364766505247e+00
8.100000000000000255e-02 1.713391804241657379e+00 2.935711474842481739e+00
8.200000000000000344e-02 1.713142934735985445e+00 2.934858714835824944e+00
8.300000000000000433e-02 1.720149848679053406e+00 2.958915501910570622e+00
8.400000000000000522e-02 1.732081260211204343e+00 3.000105491974833782e+00
8.500000000000000611e-02 1.727716292660786968e+00 2.985003587925533886e+00
8.600000000000000699e-02 1.725448752002044728e+00 2.977173395785413401e+00
8.700000000000000788e-02 1.719447768174904079e+00 2.956500627481658316e+00
8.799999999999999489e-02 1.711713211258108158e+00 2.929962117595545035e+00
8.899999999999999578e-02 1.709344838959345747e+00 2.921859778476951774e+00
8.999999999999999667e-02 1.703488083686677257e+00 2.901871651262508234e+00
9.099999999999999756e-02 1.708047421231374319e+00 2.917425993175147614e+00
9.199999999999999845e-02 1.714945950906580086e+00 2.941039614530874147e+00
9.299999999999999933e-02 1.729707919570169450e+00 2.991889487023764005e+00
9.400000000000000022e-02 1.728163583194491260e+00 2.986549370279623083e+00
9.500000000000000111e-02 1.738315082313556914e+00 3.021739325398788534e+00
9.600000000000000200e-02 1.746632042612571434e+00 3.050723492280963622e+00
9.700000000000000289e-02 1.748955883254206034e+00 3.058846681569499903e+00
9.800000000000000377e-02 1.755757135000184821e+00 3.082683117104057402e+00
9.900000000000000466e-02 1.766119353702678030e+00 3.119177571523165327e+00
1.000000000000000056e-01 1.769216257618378974e+00 3.130126166221182338e+00
1.010000000000000064e-01 1.780979668159740736e+00 3.171888578398380343e+00
1.020000000000000073e-01 1.794754166589243916e+00 3.221142518489451767e+00
1.030000000000000082e-01 1.806977373732322256e+00 3.265167229180560238e+00
1.040000000000000091e-01 1.820491476540513576e+00 3.314189216156659512e+00
1.049999999999999961e-01 1.831359805906200178e+00 3.353878738688794936e+00
1.059999999999999970e-01 1.839031155495639336e+00 3.382035590883626153e+00
1.069999999999999979e-01 1.863569963477283098e+00 3.472893008774721846e+00
1.079999999999999988e-01 1.868480417606429578e+00 3.491219070978697658e+00
1.089999999999999997e-01 1.873859656158235909e+00 3.511350010977462244e+00
1.100000000000000006e-01 1.882997333486513547e+00 3.545678957917320684e+00
1.110000000000000014e-01 1.900108200323437524e+00 3.610411172936372814e+00
1.120000000000000023e-01 1.913759588750498564e+00 3.662475763534477569e+00
1.130000000000000032e-01 1.930848347097440021e+00 3.728175339488915885e+00
1.140000000000000041e-01 1.946122821493861066e+00 3.787394036339226666e+00
1.150000000000000050e-01 1.948157209685358549e+00 3.795316513649041656e+00
1.160000000000000059e-01 1.958028106285840675e+00 3.833874065005315579e+00
1.170000000000000068e-01 1.965327721419250606e+00 3.862513052578983253e+00
1.180000000000000077e-01 1.953318112500525228e+00 3.815451648622614211e+00
1.190000000000000085e-01 1.954297010322086914e+00 3.819276804553846993e+00
1.199999999999999956e-01 1.969140405640317448e+00 3.877513937125314225e+00
1.209999999999999964e-01 1.963184557093854643e+00 3.854093605211794227e+00
1.219999999999999973e-01 1.955081693641409935e+00 3.822344428811764061e+00
1.229999999999999982e-01 1.948916968367593094e+00 3.798277349591129948e+00
1.239999999999999991e-01 1.961804690180784849e+00 3.848677642415324840e+00
1.250000000000000000e-01 1.965750722370541492e+00 3.864175902500305959e+00
1.260000000000000009e-01 1.975156390053440347e+00 3.901242765168938309e+00
1.270000000000000018e-01 1.970375647105488959e+00 3.882380190706374190e+00
1.280000000000000027e-01 1.965918102939369527e+00 3.864833987464729503e+00
1.290000000000000036e-01 1.974669828569447061e+00 3.899320931862489292e+00
1.300000000000000044e-01 1.966035820098156472e+00 3.865296845909030665e+00
1.310000000000000053e-01 1.963655001183708837e+00 3.855940963673791799e+00
1.320000000000000062e-01 1.974526408951014611e+00 3.898754539644989414e+00
1.330000000000000071e-01 1.983108199444405306e+00 3.932718130703630965e+00
1.340000000000000080e-01 1.975375107168621636e+00 3.902106814021443437e+00
1.350000000000000089e-01 1.982525746421649249e+00 3.930408335224717220e+00
1.360000000000000098e-01 1.986529685645108678e+00 3.946300191949254632e+00
1.370000000000000107e-01 1.985187850262848608e+00 3.940970800831229859e+00
1.380000000000000115e-01 1.999987043496229466e+00 3.999948174152788916e+00
1.390000000000000124e-01 2.011227482712221626e+00 4.045035987216940576e+00
1.400000000000000133e-01 2.007591214463101625e+00 4.030422484389431403e+00
1.410000000000000142e-01 2.012066206450497496e+00 4.048410419140095584e+00
1.420000000000000151e-01 2.014960921901899571e+00 4.060067516791752595e+00
1.430000000000000160e-01 2.007602380727199431e+00 4.030467319101519230e+00
1.440000000000000169e-01 2.008695378210858973e+00 4.034857122445666633e+00
1.449999999999999900e-01 2.015216998741814258e+00 4.061099552017966019e+00
1.459999999999999909e-01 2.008203458256208940e+00 4.032881129752197147e+00
1.469999999999999918e-01 1.999835776874429483e+00 3.999343134466952776e+00
1.479999999999999927e-01 2.002020547015548324e+00 4.008086270672435170e+00
1.489999999999999936e-01 1.998054518118140610e+00 3.992221857372315164e+00
1.499999999999999944e-01 2.010073953485908227e+00 4.040397298482468535e+00
1.509999999999999953e-01 2.011028044118122082e+00 4.044233794229558754e+00
1.519999999999999962e-01 2.023347927489683951e+00 4.093936835676800001e+00
1.529999999999999971e-01 2.022494969092102579e+00 4.090485900002865272e+00
1.539999999999999980e-01 2.022552866259194726e+00 4.090720096813283746e+00
1.549999999999999989e-01 2.022280917082556417e+00 4.089620107596266152e+00
1.559999999999999998e-01 2.025033347110688275e+00 4.100760056910317530e+00
1.570000000000000007e-01 2.023064231166797011e+00 4.092788883426504043e+00
1.580000000000000016e-01 2.017326177029276746e+00 4.069604904527555966e+00
1.590000000000000024e-01 2.007453110934081852e+00 4.029867992598923365e+00
1.600000000000000033e-01 2.018223302343421732e+00 4.073225298121986526e+00
1.610000000000000042e-01 2.020459341815030285e+00 4.082255951927625581e+00
1.620000000000000051e-01 1.987986519167411315e+00 3.952090400391360614e+00
1.630000000000000060e-01 1.971679630276426121e+00 3.887520564446984572e+00
1.640000000000000069e-01 1.962836625716648298e+00 3.852727619254717961e+00
1.650000000000000078e-01 1.949237098876279939e+00 3.799525267635615933e+00
1.660000000000000087e-01 1.928055284628130917e+00 3.717397180582463267e+00
1.670000000000000095e-01 1.920642428339183416e+00 3.688867337536635649e+00
1.680000000000000104e-01 1.914201974532441231e+00 3.664169199303897173e+00
1.690000000000000113e-01 1.923753615465880529e+00 3.700827973018046890e+00
1.700000000000000122e-01 1.934492946201446850e+00 3.742262958903153969e+00
1.710000000000000131e-01 1.936366007463303562e+00 3.749513314859374891e+00
1.720000000000000140e-01 1.939635273312258379e+00 3.762184993477119654e+00
