# time(ps)   RMSD(Ang)   MSD(Ang^2)
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000021e-03 2.181170841072199162e-01 4.757506237943604638e-02
2.000000000000000042e-03 2.810268681379607947e-01 7.897610061543079707e-02
3.000000000000000062e-03 3.750312553272836524e-01 1.406484424723582205e-01
4.000000000000000083e-03 5.237642168933286380e-01 2.743289548978818382e-01
5.000000000000000104e-03 6.117318614729941872e-01 3.742158703412145626e-01
6.000000000000000125e-03 7.626345248909827124e-01 5.816114185556948701e-01
7.000000000000000146e-03 9.557250792804912187e-01 9.134104271657013108e-01
8.000000000000000167e-03 1.107999992213374751e+00 1.227663982744838345e+00
9.000000000000001055e-03 1.229065014205789286e+00 1.510600809144676981e+00
1.000000000000000021e-02 1.316468452776731413e+00 1.733089187156361177e+00
1.099999999999999936e-02 1.347298813812638940e+00 1.815214093700944220e+00
1.200000000000000025e-02 1.466080814108192909e+00 2.149392953496141789e+00
1.300000000000000114e-02 1.564663517174080143e+00 2.448171921975563325e+00
1.400000000000000029e-02 1.577629634787773849e+00 2.488915264560604523e+00
1.499999999999999944e-02 1.652697103749048546e+00 2.731407716740493541e+00
1.600000000000000033e-02 1.720710852967237692e+00 2.960845839519238520e+00
1.700000000000000122e-02 1.674572858326999203e+00 2.804194257845455951e+00
1.800000000000000211e-02 1.706889330098507740e+00 2.913471185204132841e+00
1.899999999999999953e-02 1.761134038314427386e+00 3.101593100909683098e+00
2.000000000000000042e-02 1.748116051660947745e+00 3.055909730074661379e+00
2.100000000000000130e-02 1.799039539876241545e+00 3.236543266038119260e+00
2.199999999999999872e-02 1.782772366954047172e+00 3.178277312374935715e+00
2.299999999999999961e-02 1.801929375879739448e+00 3.246949475658347684e+00
2.400000000000000050e-02 1.810598533544882649e+00 3.278267049674879363e+00
2.500000000000000139e-02 1.879647321884568179e+00 3.533074054667829866e+00
2.600000000000000228e-02 1.931794161685453259e+00 3.731828683122003554e+00
2.699999999999999969e-02 1.965956838714787436e+00 3.864986291689440634e+00
2.800000000000000058e-02 2.100157419343566811e+00 4.410661186023831171e+00
2.900000000000000147e-02 2.128630860912368750e+00 4.531069342028533065e+00
2.999999999999999889e-02 2.229600575513493332e+00 4.971118726330099769e+00
3.099999999999999978e-02 2.269839365182275248e+00 5.152170743731073976e+00
3.200000000000000067e-02 2.346628649894001661e+00 5.506666020503344861e+00
3.300000000000000155e-02 2.377621035561509721e+00 5.653081788744586333e+00
3.400000000000000244e-02 2.379254727135106773e+00 5.660853056594750576e+00
3.500000000000000333e-02 2.403243550242746718e+00 5.775579561783362514e+00
3.600000000000000422e-02 2.338632065171581065e+00 5.469199936248695160e+00
3.699999999999999817e-02 2.234165589067933944e+00 4.991495879375269062e+00
3.799999999999999906e-02 2.131626845568844963e+00 4.543833008749784241e+00
3.899999999999999994e-02 2.073696789123968820e+00 4.300218373223057888e+00
4.000000000000000083e-02 2.055660876883211863e+00 4.225741640748254646e+00
4.100000000000000172e-02 2.079983097457927421e+00 4.326329685710674333e+00
4.200000000000000261e-02 2.174498581194240998e+00 4.728444079615766960e+00
4.300000000000000350e-02 2.154960730063668173e+00 4.643855748116537896e+00
4.399999999999999745e-02 2.119911688045389653e+00 4.494025565111454235e+00
4.499999999999999833e-02 2.168219974503651226e+00 4.701177857836613683e+00
4.599999999999999922e-02 2.089525526043039427e+00 4.366116923985440046e+00
4.700000000000000011e-02 2.096004580858745747e+00 4.393235202980846132e+00
4.800000000000000100e-02 2.114996894911982839e+00 4.473211865487328076e+00
4.900000000000000189e-02 2.134623400539091165e+00 4.556617062129073581e+00
5.000000000000000278e-02 2.111006760965285611e+00 4.456349544841145871e+00
5.100000000000000366e-02 2.041095460890074431e+00 4.166070680466066101e+00
5.200000000000000455e-02 1.954360363591166827e+00 3.819524430776198187e+00
5.299999999999999850e-02 1.887453467979390620e+00 3.562480593787428429e+00
5.399999999999999939e-02 1.948762036584824386e+00 3.797673475234232043e+00
5.500000000000000028e-02 1.969081380706383611e+00 3.877281483844557730e+00
5.600000000000000117e-02 1.995572613414277496e+00 3.982310055409089333e+00
5.700000000000000205e-02 2.050821771615440436e+00 4.205869938931893870e+00
5.800000000000000294e-02 2.164986422555490897e+00 4.687166209849621623e+00
5.900000000000000383e-02 2.181042547343493787e+00 4.756946593322595618e+00
5.999999999999999778e-02 2.207140100828688833e+00 4.871467424686074743e+00
6.099999999999999867e-02 2.123038909649372918e+00 4.507294211885197299e+00
6.199999999999999956e-02 2.120632306304464976e+00 4.497081378542193697e+00
6.300000000000000044e-02 2.076257380705495148e+00 4.310844710934042645e+00
6.400000000000000133e-02 2.139844823941847274e+00 4.578935870550715492e+00
6.500000000000000222e-02 2.186280699317880050e+00 4.779823296209879224e+00
6.600000000000000311e-02 2.320639074810490587e+00 5.385365715537290043e+00
6.700000000000000400e-02 2.421865563217014294e+00 5.865432806296465351e+00
6.800000000000000488e-02 2.466683895389408132e+00 6.084529439773464610e+00
6.900000000000000577e-02 2.552920727648276600e+00 6.517404241656206132e+00
7.000000000000000666e-02 2.512495447587794306e+00 6.312633374149391408e+00
7.100000000000000755e-02 2.575917437141590938e+00 6.635350642970101909e+00
7.200000000000000844e-02 2.644580696328453495e+00 6.993807059393088110e+00
7.299999999999999545e-02 2.719069372031239773e+00 7.393338249918360638e+00
7.399999999999999634e-02 2.838726859548091674e+00 8.058370183119771823e+00
7.499999999999999722e-02 2.893535913861099207e+00 8.372550084803986437e+00
7.599999999999999811e-02 3.115805739165273813e+00 9.708245404215258390e+00
7.699999999999999900e-02 3.174916245445842833e+00 1.008009316559592605e+01
7.799999999999999989e-02 3.395601145405073851e+00 1.153010713867624837e+01
7.900000000000000078e-02 3.455596018402544711e+00 1.194114384239951931e+01
8.000000000000000167e-02 3.460144259237414754e+00 1.197259829473363801e+01
8.100000000000000255e-02 3.505768045980778513e+00 1.229040959221988594e+01
8.200000000000000344e-02 3.503912767786555360e+00 1.227740468425763787e+01
8.300000000000000433e-02 3.581720555275438755e+00 1.282872213608259848e+01
8.400000000000000522e-02 3.501885618793039168e+00 1.226320288710950557e+01
8.500000000000000611e-02 3.567050445248777901e+00 1.272384887894950545e+01
8.600000000000000699e-02 3.485500526086495299e+00 1.214871391734923556e+01
8.700000000000000788e-02 3.539007060103433577e+00 1.252457097146194798e+01
8.799999999999999489e-02 3.574285994244756903e+00 1.277552036865422913e+01
8.899999999999999578e-02 3.529546528450161258e+00 1.245769869649458350e+01
8.999999999999999667e-02 3.570027505129388157e+00 1.274509638738036266e+01
9.099999999999999756e-02 3.515406128904073668e+00 1.235808025113632347e+01
9.199999999999999845e-02 3.548062137038548336e+00 1.258874492828655001e+01
9.299999999999999933e-02 3.409191725832740438e+00 1.162258822348641907e+01
9.400000000000000022e-02 3.402795690194289069e+00 1.157901850920482723e+01
9.500000000000000111e-02 3.355705839800742218e+00 1.126076168327280591e+01
9.600000000000000200e-02 3.281035275306370735e+00 1.076519247780475119e+01
