# time(ps)   RMSD(Ang)   MSD(Ang^2)
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000021e-03 1.657269797688778745e-01 2.746543182331405430e-02
2.000000000000000042e-03 2.650225470809134398e-01 7.023695046125498498e-02
3.000000000000000062e-03 4.240763736596903088e-01 1.798407706963532637e-01
4.000000000000000083e-03 5.658411213476505219e-01 3.201761746079666016e-01
5.000000000000000104e-03 7.402517150499996479e-01 5.479726016344658168e-01
6.000000000000000125e-03 8.681722754167475742e-01 7.537230998022930173e-01
7.000000000000000146e-03 8.774029354945814818e-01 7.698359112145086725e-01
8.000000000000000167e-03 9.325237176680611917e-01 8.696004840134619052e-01
9.000000000000001055e-03 9.553612062604819322e-01 9.127150344274831406e-01
1.000000000000000021e-02 9.967313629335843306e-01 9.934734098554406367e-01
1.099999999999999936e-02 1.047522288583301320e+00 1.097302945078797443e+00
1.200000000000000025e-02 1.036562152315470442e+00 1.074461095612880390e+00
1.300000000000000114e-02 1.063708503370100589e+00 1.131475780141859344e+00
1.400000000000000029e-02 1.136984844563747155e+00 1.292734536767648379e+00
1.499999999999999944e-02 1.166364049199783981e+00 1.360405095265716291e+00
1.600000000000000033e-02 1.175343323297662668e+00 1.381431927620394129e+00
1.700000000000000122e-02 1.226694075790118355e+00 1.504778355578572757e+00
1.800000000000000211e-02 1.264421800602745005e+00 1.598762489839487655e+00
1.899999999999999953e-02 1.281968519098809711e+00 1.643443283960394963e+00
2.000000000000000042e-02 1.370045545945430154e+00 1.877024797964911507e+00
2.100000000000000130e-02 1.401915396028474925e+00 1.965366777621675665e+00
2.199999999999999872e-02 1.422216072422736399e+00 2.022698556657554381e+00
2.299999999999999961e-02 1.496075051613813267e+00 2.238240560061274032e+00
2.400000000000000050e-02 1.559041907197572518e+00 2.430611668398244163e+00
2.500000000000000139e-02 1.669568914640841673e+00 2.787460360734998144e+00
2.600000000000000228e-02 1.782463326565949746e+00 3.177175510552551430e+00
2.699999999999999969e-02 1.844937954921060719e+00 3.403796057508305939e+00
2.800000000000000058e-02 1.839166866203673978e+00 3.382534761741442519e+00
2.900000000000000147e-02 1.912805978753248537e+00 3.658826712354173338e+00
2.999999999999999889e-02 1.906933813404391831e+00 3.636396568705015486e+00
3.099999999999999978e-02 1.882950756614524046e+00 3.545503551835208711e+00
3.200000000000000067e-02 1.908467980207265047e+00 3.642250031476397698e+00
3.300000000000000155e-02 1.963430403029970295e+00 3.855058947542431724e+00
3.400000000000000244e-02 2.028708482758992293e+00 4.115658108018291905e+00
3.500000000000000333e-02 2.027579013904405425e+00 4.111076657625560848e+00
3.600000000000000422e-02 2.058978507574582562e+00 4.239392494654055987e+00
3.699999999999999817e-02 2.076050902691723543e+00 4.309987350567119790e+00
3.799999999999999906e-02 2.047819306341887913e+00 4.193563911426571700e+00
3.899999999999999994e-02 2.100922831105926480e+00 4.413876742262140773e+00
4.000000000000000083e-02 2.145996021634060558e+00 4.605298924869216215e+00
4.100000000000000172e-02 2.140796900257480484e+00 4.583011368152036802e+00
4.200000000000000261e-02 2.175990914859250225e+00 4.734936461549995812e+00
4.300000000000000350e-02 2.243866963979652240e+00 5.034938952039261117e+00
4.399999999999999745e-02 2.301369588729097249e+00 5.296301983927134138e+00
4.499999999999999833e-02 2.300056239235618527e+00 5.290258703646697036e+00
4.599999999999999922e-02 2.377345498742426511e+00 5.651771620390877438e+00
4.700000000000000011e-02 2.367102581512786852e+00 5.603174631404499451e+00
4.800000000000000100e-02 2.367905984299834898e+00 5.606978750482970675e+00
4.900000000000000189e-02 2.353717892326654404e+00 5.539987916658628997e+00
5.000000000000000278e-02 2.383079139649010969e+00 5.679066185830270008e+00
5.100000000000000366e-02 2.361311714589597432e+00 5.575793013458064884e+00
5.200000000000000455e-02 2.318489380607395400e+00 5.375393007989264227e+00
5.299999999999999850e-02 2.333136900002118708e+00 5.443527794151496124e+00
5.399999999999999939e-02 2.305115282134941879e+00 5.313556463932052942e+00
5.500000000000000028e-02 2.385416676899581923e+00 5.690212722430644021e+00
5.600000000000000117e-02 2.383322507897581488e+00 5.680226176651217429e+00
5.700000000000000205e-02 2.496308991555367562e+00 6.231558581320176593e+00
5.800000000000000294e-02 2.546963987163004539e+00 6.487025551905269083e+00
5.900000000000000383e-02 2.425709462471846489e+00 5.884066396325454917e+00
5.999999999999999778e-02 2.566300526963484874e+00 6.585898394693060709e+00
6.099999999999999867e-02 2.527902947859244964e+00 6.390293313795461394e+00
6.199999999999999956e-02 2.628991807315240958e+00 6.911597922930656779e+00
6.300000000000000044e-02 2.678010191783505967e+00 7.171738587296329293e+00
6.400000000000000133e-02 2.638336071705539965e+00 6.960817227262619866e+00
6.500000000000000222e-02 2.722419024660029052e+00 7.411565345830863016e+00
6.600000000000000311e-02 2.667635908587101312e+00 7.116281340783330300e+00
